,ImageID,Int1,Uni1,Int2,Uni2
127,CHUM-042_047_ax_fg,0,0,4,12
128,CHUM-042_048_ax_fg,0,0,5,19
129,CHUM-042_049_ax_fg,0,0,7,25
130,CHUM-042_050_ax_fg,11,27,15,49
131,CHUM-042_051_ax_fg,17,39,26,61
132,CHUM-042_052_ax_fg,20,46,21,60
133,CHUM-042_053_ax_fg,23,52,19,60
134,CHUM-042_054_ax_fg,23,52,18,66
135,CHUM-042_055_ax_fg,16,38,14,58
136,CHUM-042_056_ax_fg,5,19,11,55
137,CHUM-042_057_ax_fg,1,4,25,70
138,CHUM-042_058_ax_fg,0,0,21,61
139,CHUM-042_059_ax_fg,0,1,4,35
140,CHUM-042_060_ax_fg,0,0,0,11
141,CHUM-053_035_ax_fg,0,0,0,4
142,CHUM-053_036_ax_fg,0,0,1,6
143,CHUM-053_037_ax_fg,0,0,0,3
144,CHUM-053_038_ax_fg,0,0,0,2
145,CHUM-053_049_ax_fg,0,0,0,2
146,CHUM-053_050_ax_fg,0,0,1,7
147,CHUM-053_051_ax_fg,0,0,7,15
148,CHUM-053_052_ax_fg,2,6,7,16
149,CHUM-053_053_ax_fg,13,27,4,14
150,CHUM-053_054_ax_fg,18,40,4,16
151,CHUM-053_055_ax_fg,22,50,0,8
152,CHUM-053_056_ax_fg,24,50,0,4
153,CHUM-053_057_ax_fg,23,50,0,4
154,CHUM-053_058_ax_fg,21,45,0,0
155,CHUM-053_059_ax_fg,11,25,0,0
156,CHUM-059_038_ax_fg,0,0,0,1
157,CHUM-059_039_ax_fg,0,0,0,2
158,CHUM-059_040_ax_fg,0,0,1,3
159,CHUM-059_041_ax_fg,0,0,0,4
160,CHUM-059_042_ax_fg,0,0,2,14
161,CHUM-059_043_ax_fg,0,0,16,35
162,CHUM-059_044_ax_fg,0,0,20,45
163,CHUM-059_045_ax_fg,2,9,21,49
164,CHUM-059_046_ax_fg,6,16,20,49
165,CHUM-059_047_ax_fg,5,16,21,51
166,CHUM-059_048_ax_fg,4,14,23,47
167,CHUM-059_049_ax_fg,0,2,18,41
168,CHUM-059_050_ax_fg,0,0,13,32
169,CHUM-059_051_ax_fg,0,0,8,17
170,CHUM-060_045_ax_fg,0,0,0,8
171,CHUM-060_046_ax_fg,0,1,2,13
172,CHUM-060_047_ax_fg,0,1,8,25
173,CHUM-060_048_ax_fg,0,0,10,33
174,CHUM-060_049_ax_fg,0,0,17,50
175,CHUM-060_050_ax_fg,0,0,24,59
176,CHUM-060_051_ax_fg,13,35,27,67
177,CHUM-060_052_ax_fg,27,58,25,71
178,CHUM-060_053_ax_fg,31,66,25,71
179,CHUM-060_054_ax_fg,31,72,28,74
180,CHUM-060_055_ax_fg,31,70,34,82
181,CHUM-060_056_ax_fg,24,61,34,77
182,CHUM-060_057_ax_fg,20,48,24,54
183,CHUM-060_058_ax_fg,16,41,14,36
184,CHUM-060_059_ax_fg,6,19,10,28
185,CHUM-060_060_ax_fg,1,8,5,14
186,CHUM-060_061_ax_fg,0,4,1,3
187,CHUM-064_036_ax_fg,0,0,0,4
188,CHUM-064_037_ax_fg,0,0,0,4
189,CHUM-064_038_ax_fg,0,0,5,19
190,CHUM-064_039_ax_fg,0,0,13,34
191,CHUM-064_040_ax_fg,0,0,24,58
192,CHUM-064_041_ax_fg,0,0,27,71
193,CHUM-064_042_ax_fg,0,0,28,68
194,CHUM-064_043_ax_fg,0,2,27,67
195,CHUM-064_044_ax_fg,8,26,25,62
196,CHUM-064_045_ax_fg,16,35,30,66
197,CHUM-064_046_ax_fg,22,50,25,62
198,CHUM-064_047_ax_fg,30,63,20,48
199,CHUM-064_048_ax_fg,34,73,17,39
200,CHUM-064_049_ax_fg,35,76,9,23
201,CHUM-064_050_ax_fg,35,73,0,6
202,CHUM-064_051_ax_fg,21,58,0,0
203,CHUM-064_052_ax_fg,4,10,0,0
204,CHUM-064_053_ax_fg,0,4,0,0
205,CHUP-009_413_ax_fg,0,0,0,2
206,CHUP-009_414_ax_fg,0,0,0,3
207,CHUP-009_415_ax_fg,0,0,1,4
208,CHUP-009_416_ax_fg,0,0,2,7
209,CHUP-009_417_ax_fg,0,0,3,10
210,CHUP-009_418_ax_fg,0,0,3,11
211,CHUP-009_419_ax_fg,0,0,2,9
212,CHUP-009_420_ax_fg,0,0,2,8
213,CHUP-009_421_ax_fg,0,0,1,4
214,CHUP-009_427_ax_fg,0,0,2,7
215,CHUP-009_428_ax_fg,1,3,4,9
216,CHUP-009_429_ax_fg,2,4,4,9
217,CHUP-009_430_ax_fg,2,6,4,11
218,CHUP-009_431_ax_fg,2,10,2,9
219,CHUP-009_432_ax_fg,2,10,0,7
220,CHUP-009_433_ax_fg,5,16,0,6
221,CHUP-009_434_ax_fg,7,18,0,7
222,CHUP-009_435_ax_fg,8,21,0,9
223,CHUP-009_436_ax_fg,9,23,0,9
224,CHUP-009_437_ax_fg,9,23,0,11
225,CHUP-009_438_ax_fg,11,25,0,11
226,CHUP-009_439_ax_fg,11,26,0,11
227,CHUP-009_440_ax_fg,12,28,0,11
228,CHUP-009_441_ax_fg,11,27,0,12
229,CHUP-009_442_ax_fg,9,23,0,12
230,CHUP-009_443_ax_fg,8,21,0,12
231,CHUP-009_444_ax_fg,10,21,0,7
232,CHUP-009_445_ax_fg,9,19,0,7
233,CHUP-009_446_ax_fg,7,17,0,7
234,CHUP-009_447_ax_fg,5,13,0,0
235,CHUP-009_448_ax_fg,2,7,0,0
236,CHUP-009_449_ax_fg,2,7,0,0
237,CHUP-009_450_ax_fg,0,1,0,0
238,CHUP-013_300_ax_fg,0,0,0,2
239,CHUP-013_301_ax_fg,0,0,0,8
240,CHUP-013_302_ax_fg,0,0,0,11
241,CHUP-013_303_ax_fg,0,0,0,11
242,CHUP-013_304_ax_fg,0,0,0,13
243,CHUP-013_305_ax_fg,0,0,0,12
244,CHUP-013_306_ax_fg,0,0,0,12
245,CHUP-013_307_ax_fg,0,0,0,8
246,CHUP-013_308_ax_fg,0,0,0,5
247,CHUP-013_309_ax_fg,0,0,0,5
248,CHUP-013_310_ax_fg,0,0,0,5
249,CHUP-013_311_ax_fg,0,0,0,5
250,CHUP-013_312_ax_fg,0,4,1,8
251,CHUP-013_313_ax_fg,0,7,1,12
252,CHUP-013_314_ax_fg,2,11,0,15
253,CHUP-013_315_ax_fg,5,17,0,19
254,CHUP-013_316_ax_fg,4,16,3,25
255,CHUP-013_317_ax_fg,1,15,3,25
256,CHUP-013_318_ax_fg,0,11,3,22
257,CHUP-013_319_ax_fg,1,21,4,23
258,CHUP-013_320_ax_fg,2,24,4,20
259,CHUP-013_321_ax_fg,4,23,1,13
260,CHUP-013_322_ax_fg,10,30,0,7
261,CHUP-013_323_ax_fg,12,33,0,7
262,CHUP-013_324_ax_fg,5,27,0,6
263,CHUP-013_325_ax_fg,3,24,0,2
264,CHUP-013_326_ax_fg,0,20,0,2
265,CHUP-013_327_ax_fg,0,18,0,0
266,CHUP-013_328_ax_fg,0,17,0,3
267,CHUP-013_329_ax_fg,0,8,0,4
